URL,Langue,Section,Siman,Seif,Niveau,Fichier_source,Titre,Statut_HTTP,Indexable,Present_dans_sitemap,Commentaires
https://daattorah.com/blog/muktse-telephone-argent-shabbat.html,fr,blog,,,,blog/muktse-telephone-argent-shabbat.html,Peut-on toucher son téléphone ou de l'argent le Shabbat ? Le muktsé expliqué | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/papier-toilette-shabbat-en.html,en,blog,,,,blog/papier-toilette-shabbat-en.html,Can You Use Toilet Paper on Shabbat? (Siman 312) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/papier-toilette-shabbat-he.html,he,blog,,,,blog/papier-toilette-shabbat-he.html,האם מותר להשתמש בנייר טואלט בשבת? (סימן שי״ב) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/papier-toilette-shabbat.html,fr,blog,,,,blog/papier-toilette-shabbat.html,Peut-on utiliser du papier toilette le Shabbat ? (Siman 312) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/plats-mijotes-erev-shabbat-en.html,en,blog,,,,blog/plats-mijotes-erev-shabbat-en.html,Leaving Food to Cook Into Shabbos: What the Shulchan Aruch Permits (Siman 254) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/plats-mijotes-erev-shabbat-he.html,he,blog,,,,blog/plats-mijotes-erev-shabbat-he.html,להשאיר תבשיל מתבשל בכניסת השבת: מה מתיר השולחן ערוך (סימן רנ״ד) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/plats-mijotes-erev-shabbat.html,fr,blog,,,,blog/plats-mijotes-erev-shabbat.html,Laisser mijoter un plat à l'entrée de Shabbat : ce que permet le Choulhan Aroukh | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/preparer-repas-shabbat-vendredi-en.html,en,blog,,,,blog/preparer-repas-shabbat-vendredi-en.html,Preparing the Shabbos Meals on Friday: Zeal for the Honor of Shabbos | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/preparer-repas-shabbat-vendredi-he.html,he,blog,,,,blog/preparer-repas-shabbat-vendredi-he.html,הכנת סעודות השבת בערב שבת: ההשכמה לכבוד השבת (סימן ר״נ) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/preparer-repas-shabbat-vendredi.html,fr,blog,,,,blog/preparer-repas-shabbat-vendredi.html,Préparer les repas de Shabbat le vendredi : l'empressement pour l'honneur du Shabbat | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/pret-location-non-juif-shabbat-en.html,en,blog,,,,blog/pret-location-non-juif-shabbat-en.html,Lending or Renting an Object to a Non-Jew for Shabbos | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/pret-location-non-juif-shabbat-he.html,he,blog,,,,blog/pret-location-non-juif-shabbat-he.html,האם מותר להשאיל או להשכיר חפץ לגוי לשבת? (סימן רמ״ו) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/pret-location-non-juif-shabbat.html,fr,blog,,,,blog/pret-location-non-juif-shabbat.html,Prêter ou louer un objet à un non-juif pour le Shabbat : ce que dit la halakha | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/rechauffer-plat-shabbat-en.html,en,blog,,,,blog/rechauffer-plat-shabbat-en.html,"Can You Reheat Food on Shabbat? (hot plate, pot, hot water) | DAAT דעת",200 (fichier présent),oui,oui,
https://daattorah.com/blog/rechauffer-plat-shabbat-he.html,he,blog,,,,blog/rechauffer-plat-shabbat-he.html,"האם מותר לחמם מאכל בשבת? (פלטה, סיר, מים חמים) | DAAT דעת",200 (fichier présent),oui,oui,
https://daattorah.com/blog/rechauffer-plat-shabbat.html,fr,blog,,,,blog/rechauffer-plat-shabbat.html,"Peut-on réchauffer un plat le Shabbat ? (plata, casserole, eau chaude) | DAAT דעת",200 (fichier présent),oui,oui,
https://daattorah.com/blog/regles-vendredi-erev-shabbat-en.html,en,blog,,,,blog/regles-vendredi-erev-shabbat-en.html,"Erev Shabbos Rules: What to Prepare, What to Avoid on Friday | DAAT דעת",200 (fichier présent),oui,oui,
https://daattorah.com/blog/regles-vendredi-erev-shabbat-he.html,he,blog,,,,blog/regles-vendredi-erev-shabbat-he.html,דיני ערב שבת: מה מכינים ומה נמנעים? (סימן רמ״ט) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/regles-vendredi-erev-shabbat.html,fr,blog,,,,blog/regles-vendredi-erev-shabbat.html,"Les règles du vendredi (érev Shabbat) : ce qu'on prépare, ce qu'on évite | DAAT דעת",200 (fichier présent),oui,oui,
https://daattorah.com/blog/se-doucher-laver-shabbat-en.html,en,blog,,,,blog/se-doucher-laver-shabbat-en.html,Can You Shower or Bathe on Shabbat? | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/se-doucher-laver-shabbat-he.html,he,blog,,,,blog/se-doucher-laver-shabbat-he.html,האם מותר להתקלח או להתרחץ בשבת? | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/se-doucher-laver-shabbat.html,fr,blog,,,,blog/se-doucher-laver-shabbat.html,Peut-on se doucher ou se laver le Shabbat ? | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/shabbat-plata-rechauffer-marmites-en.html,en,blog,,,,blog/shabbat-plata-rechauffer-marmites-en.html,The Shabbos Hotplate: May You Leave and Return Pots to the Fire? (Shehiyah / Chazarah) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/shabbat-plata-rechauffer-marmites-he.html,he,blog,,,,blog/shabbat-plata-rechauffer-marmites-he.html,הפלטה של שבת: מותר להשאיר ולהחזיר את הסירים על האש? (שהייה וחזרה) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/shabbat-plata-rechauffer-marmites.html,fr,blog,,,,blog/shabbat-plata-rechauffer-marmites.html,La plata de Shabbat : peut-on laisser et remettre ses marmites sur le feu ? | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/sonneries-shofar-entree-shabbat-en.html,en,blog,,,,blog/sonneries-shofar-entree-shabbat-en.html,The Six Shofar Blasts That Announced the Onset of Shabbos (Siman 256) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/sonneries-shofar-entree-shabbat-he.html,he,blog,,,,blog/sonneries-shofar-entree-shabbat-he.html,שש תקיעות השופר שהכריזו על כניסת השבת (סימן רנ״ו) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/sonneries-shofar-entree-shabbat.html,fr,blog,,,,blog/sonneries-shofar-entree-shabbat.html,Les 6 sonneries de shofar qui annonçaient l'entrée de Shabbat (Siman 256) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/travaux-commences-avant-shabbat-en.html,en,blog,,,,blog/travaux-commences-avant-shabbat-en.html,What Work May You Start Before Shabbos to Finish on Its Own During Shabbos? (Siman 252) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/travaux-commences-avant-shabbat-he.html,he,blog,,,,blog/travaux-commences-avant-shabbat-he.html,אילו מלאכות מותר להתחיל לפני שבת שנגמרות בשבת? (סימן רנ״ב) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/travaux-commences-avant-shabbat.html,fr,blog,,,,blog/travaux-commences-avant-shabbat.html,Quels travaux peut-on lancer avant Shabbat s'ils s'achèvent Shabbat ? (Siman 252) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/travaux-non-juif-pour-juif-shabbat-en.html,en,blog,,,,blog/travaux-non-juif-pour-juif-shabbat-en.html,Can a Non-Jew Do Work for a Jew on Shabbos? (Amira Le'Akum) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/travaux-non-juif-pour-juif-shabbat-he.html,he,blog,,,,blog/travaux-non-juif-pour-juif-shabbat-he.html,"האם גוי יכול לעשות מלאכה בעד יהודי בשבת? (אמירה לגוי, סימן רמ״ד) | DAAT דעת",200 (fichier présent),oui,oui,
https://daattorah.com/blog/travaux-non-juif-pour-juif-shabbat.html,fr,blog,,,,blog/travaux-non-juif-pour-juif-shabbat.html,Un non-juif peut-il faire un travail pour un Juif le Shabbat ? (amira le-akum) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/trier-aliments-borer-shabbat-en.html,en,blog,,,,blog/trier-aliments-borer-shabbat-en.html,"Can You Sort Food on Shabbat? (Borer, okhel mitokh psolet) | DAAT דעת",200 (fichier présent),oui,oui,
https://daattorah.com/blog/trier-aliments-borer-shabbat-he.html,he,blog,,,,blog/trier-aliments-borer-shabbat-he.html,"האם מותר לברור אוכל בשבת? (בורר, אוכל מתוך פסולת) | DAAT דעת",200 (fichier présent),oui,oui,
https://daattorah.com/blog/trier-aliments-borer-shabbat.html,fr,blog,,,,blog/trier-aliments-borer-shabbat.html,"Peut-on trier des aliments le Shabbat ? (borer, okhel mitokh psolet) | DAAT דעת",200 (fichier présent),oui,oui,
https://daattorah.com/blog/voyage-bateau-caravane-avant-shabbat-en.html,en,blog,,,,blog/voyage-bateau-caravane-avant-shabbat-en.html,"Can You Set Out on a Journey (Boat, Caravan) Just Before Shabbos? | DAAT דעת",200 (fichier présent),oui,oui,
https://daattorah.com/blog/voyage-bateau-caravane-avant-shabbat-he.html,he,blog,,,,blog/voyage-bateau-caravane-avant-shabbat-he.html,"האם מותר לצאת למסע (ספינה, שיירה) סמוך לשבת? (סימן רמ״ח) | DAAT דעת",200 (fichier présent),oui,oui,
https://daattorah.com/blog/voyage-bateau-caravane-avant-shabbat.html,fr,blog,,,,blog/voyage-bateau-caravane-avant-shabbat.html,"Peut-on partir en voyage (bateau, caravane) juste avant Shabbat ? | DAAT דעת",200 (fichier présent),oui,oui,
https://daattorah.com/chat-en.html,en,racine,,,,chat-en.html,Daat AI — Halachic assistant in English · Daat Torah,200 (fichier présent),oui,oui,
https://daattorah.com/chat-he.html,he,racine,,,,chat-he.html,דעת — עוזר הלכתי חכם · שאלו את שאלותיכם בהלכה,200 (fichier présent),oui,oui,
https://daattorah.com/chat.html,fr,racine,,,,chat.html,IA Daat — Assistant halakhique en français · Daat Torah,200 (fichier présent),oui,oui,
https://daattorah.com/chitah-admour-hazaken-en.html,en,racine,,,,chitah-admour-hazaken-en.html,The Shitah of the Admour HaZaken — Shulchan Aruch HaRav | DAAT,200 (fichier présent),oui,oui,
https://daattorah.com/chitah-admour-hazaken-he.html,he,racine,,,,chitah-admour-hazaken-he.html,שיטת אדמו״ר הזקן — שלחן ערוך הרב | DAAT,200 (fichier présent),oui,oui,
https://daattorah.com/chitah-admour-hazaken.html,fr,racine,,,,chitah-admour-hazaken.html,La Chitah de l'Admour HaZaken — Le Choulhan Aroukh HaRav | DAAT,200 (fichier présent),oui,oui,
https://daattorah.com/communaute-en.html,en,racine,,,,communaute-en.html,DAAT Community — Khavroutha & WhatsApp group,200 (fichier présent),oui,oui,
https://daattorah.com/communaute-he.html,he,racine,,,,communaute-he.html,קהילת דעת — חברותא וקבוצת וואטסאפ,200 (fichier présent),oui,oui,
https://daattorah.com/communaute.html,fr,racine,,,,communaute.html,Communauté DAAT — Khavroutha & groupe WhatsApp,200 (fichier présent),oui,oui,
https://daattorah.com/contenu/en,en,racine,,,,contenu-en.html,All content — every siman to study | DAAT,200 (fichier présent),oui,non,
https://daattorah.com/contenu/he,he,racine,,,,contenu-he.html,כל התוכן — כל הסימנים ללימוד | DAAT,200 (fichier présent),oui,non,
https://daattorah.com/contenu,fr,racine,,,,contenu.html,Tout le contenu — tous les simanim à étudier | DAAT,200 (fichier présent),oui,non,
https://daattorah.com/data/.banner-snippets/banner-en.html,en,autre,,,,data/.banner-snippets/banner-en.html,,200 (fichier présent),oui,non,
